LaptopID,Brand,RamSize,StorageType,StorageCapacity
v1|306017341890|0,Acer,8GB,SSD,64GB
v1|116001548409|0,Acer,8GB,Unknown,750GB
v1|196968293035|0,Acer,6GB,Unknown,750GB
v1|116465623235|0,Acer,2GB,Unknown,750GB
v1|326311643495|0,Acer,6GB,HDD,750GB
v1|256134084547|0,Acer,4GB,Unknown,8573TB
v1|196352456560|0,Acer,Unknown,Unknown,Unknown
v1|126356714353|0,Acer,64GB,Unknown,Unknown
v1|285690538932|0,Acer,Unknown,Unknown,Unknown
v1|395509007914|0,Acer,32GB,Unknown,Unknown
v1|256775854456|0,Acer,64GB,Unknown,Unknown
v1|146492568569|0,Acer,Unknown,Unknown,Unknown
v1|296735199857|0,Acer,32GB,Unknown,Unknown
v1|235995081270|0,Acer,4GB,Unknown,Unknown
v1|226681745032|0,Acer,2GB,Unknown,Unknown
v1|326516639447|0,Acer,Unknown,Unknown,Unknown
v1|294950005085|0,Acer,16GB,Unknown,Unknown
v1|388161208480|0,Acer,Unknown,Unknown,Unknown
v1|167427207206|0,Acer,32GB,Unknown,Unknown
v1|395892504175|0,Acer,Unknown,Unknown,Unknown
v1|405536252526|0,Acer,Unknown,Unknown,Unknown
v1|176980001190|0,Acer,Unknown,Unknown,Unknown
v1|205329253911|0,Acer,Unknown,Unknown,Unknown
v1|326408217154|0,Acer,Unknown,Unknown,Unknown
v1|167427700828|0,Acer,Unknown,Unknown,Unknown
v1|355547479515|0,Acer,Unknown,Unknown,Unknown
v1|365290313788|0,Acer,Unknown,Unknown,Unknown
v1|176684717870|0,Acer,Unknown,Unknown,Unknown
v1|356536512308|0,Acer,Unknown,Unknown,Unknown
v1|265862681643|0,Acer,Unknown,Unknown,Unknown
v1|186925695515|0,Acer,Unknown,Unknown,Unknown
v1|204543899127|0,Acer,8GB,Unknown,Unknown
v1|387416074328|0,Acer,Unknown,Unknown,Unknown
v1|388063258172|0,Acer,Unknown,Unknown,Unknown
v1|116489674110|0,Acer,Unknown,Unknown,Unknown
v1|167258311514|0,Acer,48GB,Unknown,Unknown
v1|266762041995|0,Acer,Unknown,Unknown,Unknown
v1|335585243712|0,Acer,Unknown,Unknown,Unknown
v1|176862016784|0,Acer,4GB,Unknown,Unknown
v1|146173911552|0,Acer,Unknown,Unknown,Unknown
v1|185319801641|0,Acer,Unknown,Unknown,Unknown
v1|286275090075|0,Acer,Unknown,Unknown,Unknown
v1|235462741735|0,Acer,4GB,Unknown,Unknown
v1|395531189436|0,Acer,Unknown,Unknown,Unknown
v1|176501689757|0,Acer,Unknown,Unknown,Unknown
v1|356400484573|0,Acer,Unknown,Unknown,Unknown
v1|374226620427|0,Acer,Unknown,Unknown,Unknown
v1|394684102967|0,Acer,Unknown,Unknown,Unknown
v1|404100845032|0,Acer,Unknown,Unknown,Unknown
v1|256514865400|0,Acer,Unknown,Unknown,Unknown
v1|276773001742|0,Acer,8GB,Unknown,Unknown
v1|276773001699|0,Acer,8GB,Unknown,Unknown
v1|306004388348|0,Acer,Unknown,Unknown,Unknown
v1|144556259400|0,Acer,2GB,Unknown,Unknown
v1|125872300074|0,Acer,Unknown,Unknown,Unknown
v1|306061940083|0,Acer,Unknown,Unknown,Unknown
v1|326506775209|0,Acer,Unknown,Unknown,Unknown
v1|305992052109|0,Acer,Unknown,Unknown,Unknown
v1|146336746996|0,Acer,4GB,Unknown,Unknown
v1|146154883037|0,Acer,Unknown,Unknown,Unknown
v1|296095770357|0,Acer,Unknown,Unknown,Unknown
v1|116397010570|0,Acer,Unknown,Unknown,Unknown
v1|326258828619|0,Acer,Unknown,Unknown,Unknown
v1|156852774459|0,Acer,Unknown,Unknown,Unknown
v1|116511484336|0,Acer,Unknown,Unknown,Unknown
v1|194244605650|0,Acer,Unknown,Unknown,Unknown
v1|405553237978|0,Acer,Unknown,Unknown,Unknown
v1|167111041966|0,Acer,Unknown,Unknown,Unknown
v1|326167909576|0,Acer,Unknown,Unknown,Unknown
v1|355381916691|0,Acer,Unknown,Unknown,Unknown
v1|276809379037|0,Acer,Unknown,Unknown,Unknown
v1|226424877258|0,Acer,Unknown,Unknown,Unknown
v1|163317682797|0,Acer,Unknown,Unknown,Unknown
v1|356468338594|0,Acer,Unknown,Unknown,Unknown
v1|185136835199|0,Acer,Unknown,Unknown,Unknown
v1|255076613374|0,Acer,Unknown,Unknown,Unknown
v1|266984095939|0,Acer,2GB,Unknown,Unknown
v1|264249141567|0,Acer,Unknown,HDD,Unknown
v1|296453553109|0,Acer,Unknown,Unknown,Unknown
v1|404836041148|0,Acer,Unknown,Unknown,Unknown
v1|196593697921|0,Acer,Unknown,Unknown,Unknown
v1|365047170667|0,Acer,Unknown,Unknown,Unknown
v1|226527105585|0,Acer,Unknown,Unknown,Unknown
v1|196978220945|0,Acer,Unknown,Unknown,Unknown
v1|115985038801|0,Acer,Unknown,Unknown,Unknown
v1|296926072297|0,Acer,Unknown,Unknown,Unknown
v1|124316513527|0,Acer,Unknown,Unknown,Unknown
v1|326276087761|0,Acer,8GB,Unknown,Unknown
v1|116457996522|0,Acer,Unknown,Unknown,Unknown
v1|235586773837|0,Acer,Unknown,Unknown,Unknown
v1|354454742841|0,Acer,Unknown,Unknown,Unknown
v1|326344622316|0,Acer,Unknown,Unknown,Unknown
v1|296633501248|0,Acer,Unknown,Unknown,Unknown
v1|334434014148|0,Acer,Unknown,Unknown,Unknown
v1|176005583258|0,Acer,Unknown,Unknown,Unknown
v1|265265070172|0,Acer,Unknown,HDD,Unknown
v1|255124929090|0,Acer,Unknown,Unknown,Unknown
v1|255569650561|0,Acer,Unknown,Unknown,Unknown
v1|166625290116|0,Acer,Unknown,Unknown,Unknown
v1|296946191404|0,Acer,Unknown,Unknown,Unknown
v1|305345123076|0,Acer,Unknown,Unknown,Unknown
v1|186877761446|0,Acer,Unknown,Unknown,Unknown
v1|267131503362|0,Acer,1GB,Unknown,Unknown
v1|275248915941|0,Acer,Unknown,Unknown,Unknown
v1|305636061419|0,Acer,Unknown,Unknown,Unknown
v1|326080487345|0,Acer,Unknown,Unknown,Unknown
v1|236029437184|0,Alienware,Unknown,Unknown,Unknown
v1|267209586340|0,Alienware,Unknown,Unknown,Unknown
v1|405712531575|0,Alienware,32GB,Unknown,Unknown
v1|167128149705|0,Apple,8GB,SSD,120GB
v1|395918899885|0,Apple,4GB,Unknown,120GB
v1|235843935719|0,Apple,4GB,SSD,120GB
v1|355780502220|0,Apple,1GB,HDD,120GB
v1|335794026520|0,Apple,8GB,SSD,120GB
v1|326219504788|0,Apple,8GB,SSD,128GB
v1|306219644455|0,Apple,Unknown,Unknown,128GB
v1|176768236098|0,Apple,8GB,SSD,128GB
v1|297175214943|0,Apple,8GB,SSD,128GB
v1|167054917515|0,Apple,8GB,SSD,128GB
v1|176494537893|0,Apple,4GB,Unknown,128GB
v1|156417849772|0,Apple,4GB,Unknown,128GB
v1|176297761171|0,Apple,8GB,SSD,128GB
v1|405193285856|0,Apple,4GB,Unknown,128GB
v1|405198772134|0,Apple,4GB,Unknown,128GB
v1|176587614361|0,Apple,4GB,Unknown,128GB
v1|235995852641|0,Apple,8GB,SSD,128GB
v1|176487002940|0,Apple,4GB,Unknown,128GB
v1|176488762935|0,Apple,4GB,Unknown,128GB
v1|176497077361|0,Apple,8GB,Unknown,128GB
v1|226392005641|0,Apple,4GB,SSD,128GB
v1|176561929880|0,Apple,4GB,Unknown,128GB
v1|176488769287|0,Apple,4GB,Unknown,128GB
v1|405134633255|0,Apple,4GB,Unknown,128GB
v1|156405772576|0,Apple,4GB,Unknown,128GB
v1|405249118657|0,Apple,4GB,Unknown,128GB
v1|176525524707|0,Apple,4GB,Unknown,128GB
v1|176655710707|0,Apple,4GB,Unknown,128GB
v1|156347859942|0,Apple,4GB,Unknown,128GB
v1|405134630707|0,Apple,4GB,Unknown,128GB
v1|156326419017|0,Apple,4GB,Unknown,128GB
v1|176655710710|0,Apple,4GB,Unknown,128GB
v1|156320555141|0,Apple,4GB,Unknown,128GB
v1|186368286335|0,Apple,4GB,SSD,128GB
v1|176488773508|0,Apple,4GB,Unknown,128GB
v1|405137019284|0,Apple,4GB,Unknown,128GB
v1|405216213074|0,Apple,4GB,Unknown,128GB
v1|405187462637|0,Apple,8GB,Unknown,128GB
v1|176497077360|0,Apple,4GB,Unknown,128GB
v1|176573278848|0,Apple,4GB,Unknown,128GB
v1|405154501453|0,Apple,4GB,Unknown,128GB
v1|176575318602|0,Apple,4GB,Unknown,128GB
v1|176525521279|0,Apple,8GB,Unknown,128GB
v1|176683117370|0,Apple,8GB,Unknown,128GB
v1|176565083543|0,Apple,4GB,Unknown,128GB
v1|405220774467|0,Apple,4GB,Unknown,128GB
v1|405134624574|0,Apple,4GB,Unknown,128GB
v1|156320553472|0,Apple,4GB,Unknown,128GB
v1|176488783112|0,Apple,8GB,Unknown,128GB
v1|156318813130|0,Apple,8GB,Unknown,128GB
v1|176494533024|0,Apple,8GB,Unknown,128GB
v1|396332561272|0,Apple,4GB,SSD,128GB
v1|176498740331|0,Apple,4GB,Unknown,128GB
v1|405154504639|0,Apple,4GB,Unknown,128GB
v1|395390270526|0,Apple,16GB,HDD,160GB
v1|226568305220|0,Apple,16GB,SSD,1TB
v1|116527934207|0,Apple,16GB,SSD,1TB
v1|365499020826|0,Apple,Unknown,Unknown,1TB
v1|126978613642|0,Apple,16GB,SSD,20GB
v1|388140082720|0,Apple,16GB,Unknown,250GB
v1|205123715741|0,Apple,2GB,SSD,250GB
v1|156317202515|0,Apple,8GB,Unknown,256GB
v1|176975652745|0,Apple,8GB,SSD,256GB
v1|166343435815|465978228338,Apple,8GB,Unknown,256GB
v1|146070423146|0,Apple,8GB,SSD,256GB
v1|196965605596|0,Apple,8GB,SSD,256GB
v1|276737669358|0,Apple,8GB,Unknown,256GB
v1|116184460911|0,Apple,8GB,Unknown,256GB
v1|116461298329|0,Apple,4GB,SSD,256GB
v1|176782955142|0,Apple,8GB,SSD,256GB
v1|253221754770|0,Apple,8GB,SSD,256GB
v1|167345367551|467000247103,Apple,24GB,SSD,256GB
v1|186424133577|0,Apple,8GB,Unknown,256GB
v1|405119300000|0,Apple,4GB,Unknown,256GB
v1|153965126141|0,Apple,8GB,SSD,256GB
v1|404361157733|0,Apple,4GB,HDD,320GB
v1|205365857062|0,Apple,16GB,SSD,500GB
v1|315379983476|0,Apple,16GB,SSD,500GB
v1|256567464220|0,Apple,16GB,SSD,512GB
v1|167227780117|466912682394,Apple,18GB,SSD,512GB
v1|145635181381|444765116731,Apple,16GB,SSD,512GB
v1|146356602546|445191442882,Apple,16GB,SSD,512GB
