Brand,Seller_ID,Avg_Price,Min_Price,Max_Price,Total_Listings,Price_Tendency
Dell,dikhambh-0,300.0,300.0,300.0,1,Stable Price
HP,elikaz84,100.0,100.0,100.0,1,Stable Price
HP,agon6086,300.0,300.0,300.0,1,Stable Price
HP,vrbeautyandsupplies,140.0,140.0,140.0,1,Stable Price
Lenovo,susyju18,260.0,260.0,260.0,1,Stable Price
Dell,ca_tlover7,109.99,109.99,109.99,1,Stable Price
Intel,joshduncan71486,224.95,219.95,229.95,2,Stable Price
Intel,sab_3036,500.0,500.0,500.0,1,Stable Price
HP,sava_7149,200.0,200.0,200.0,1,Stable Price
Asus,haica-78,100.0,100.0,100.0,1,Stable Price
HP,aigar2129,360.0,360.0,360.0,1,Stable Price
Lenovo,leilanperrone-skinne0,230.0,230.0,230.0,1,Stable Price
Asus,randrie0,100.0,100.0,100.0,1,Stable Price
Dell,ewelec-42,299.0,299.0,299.0,1,Stable Price
Dell,nikbasa0,150.0,150.0,150.0,1,Stable Price
HP,cyn_nzan,230.0,230.0,230.0,1,Stable Price
HP,albecks-68,400.0,400.0,400.0,1,Stable Price
ThinkPad,aegorov67,145.0,145.0,145.0,1,Stable Price
Lenovo,sm_594651,499.98,499.98,499.98,1,Stable Price
HP,earbudsmaster,125.99,125.99,125.99,1,Stable Price
HP,jaffarsk,140.0,140.0,140.0,1,Stable Price
Dell,brmitc4650,325.0,325.0,325.0,1,Stable Price
HP,nunezcastillo,170.0,170.0,170.0,1,Stable Price
HP,abngue-0,200.0,200.0,200.0,1,Stable Price
Acer,1969gtoj-86,200.0,200.0,200.0,1,Stable Price
Dell,be_123596,451.0,451.0,451.0,1,Stable Price
Microsoft,smkrtc-59,600.0,600.0,600.0,1,Stable Price
HP,danhern-502,140.0,140.0,140.0,1,Stable Price
HP,d26gf_60,250.0,250.0,250.0,1,Stable Price
Lenovo,toinfi_41,125.0,125.0,125.0,1,Stable Price
Acer,ka441042,180.0,180.0,180.0,1,Stable Price
HP,sa_541411,100.0,100.0,100.0,1,Stable Price
HP,dehern_2286,290.0,290.0,290.0,1,Stable Price
Intel,fredys2390benitez,319.0,319.0,319.0,1,Stable Price
Microsoft,grno1404,250.0,250.0,250.0,1,Stable Price
Samsung,chriboyi_8,155.0,155.0,155.0,1,Stable Price
Lenovo,genevie_25,200.0,200.0,200.0,1,Stable Price
HP,tapr1353,195.0,195.0,195.0,1,Stable Price
Samsung,courtnemountfor_0,110.0,110.0,110.0,1,Stable Price
HP,joriv-1450,450.0,450.0,450.0,1,Stable Price
HP,samawa-189,350.0,350.0,350.0,1,Stable Price
HP,chelawr60,350.0,350.0,350.0,1,Stable Price
HP,c1ndy_99,275.0,275.0,275.0,1,Stable Price
Lenovo,dinavia_97,210.0,210.0,210.0,1,Stable Price
Intel,so_903611,235.0,235.0,235.0,1,Stable Price
Microsoft,qiwa8871,180.0,180.0,180.0,1,Stable Price
Samsung,z6vmr0,190.0,190.0,190.0,1,Stable Price
Dell,nosua12,300.0,300.0,300.0,1,Stable Price
Samsung,carolier,100.0,100.0,100.0,1,Stable Price
HP,brymur_86,188.0,188.0,188.0,1,Stable Price
Lenovo,electricgin_llc,200.0,200.0,200.0,1,Stable Price
HP,carab.jeane,150.0,150.0,150.0,1,Stable Price
HP,xersan0,180.0,180.0,180.0,1,Stable Price
Microsoft,maythom_86,180.0,180.0,180.0,1,Stable Price
HP,fairtradeheart,120.0,120.0,120.0,1,Stable Price
Asus,mhdtrade_6,300.0,300.0,300.0,1,Stable Price
Intel,chava.gilby,100.0,100.0,100.0,1,Stable Price
HP,chapoth_43,200.0,200.0,200.0,1,Stable Price
Lenovo,db_003,100.0,100.0,100.0,1,Stable Price
HP,turninthepage,150.0,150.0,150.0,1,Stable Price
HP,amsaw88,250.0,250.0,250.0,1,Stable Price
Intel,theglowgallery,398.99,398.99,398.99,1,Stable Price
Dell,onlinestore4,150.0,150.0,150.0,1,Stable Price
Microsoft,onlinestore4,450.0,450.0,450.0,1,Stable Price
Samsung,sably-85,125.0,125.0,125.0,1,Stable Price
Lenovo,ycpromotions,159.0,159.0,159.0,1,Stable Price
Dell,rhys.kir_55,120.0,120.0,120.0,1,Stable Price
